date: "09.04.2024, 10:45", userID: 540506810, user: "pavstyuk", name: "Mikhail Pavstyuk", message: "от Иоанна 2", event: "read"; 
date: "09.04.2024, 10:46", userID: 540506810, user: "pavstyuk", name: "Mikhail Pavstyuk", message: "от Марка 1:2", event: "read"; 
date: "09.04.2024, 10:56", userID: 540506810, user: "pavstyuk", name: "Mikhail Pavstyuk", message: "от Матф", event: "read"; 
date: "09.04.2024, 10:56", userID: 540506810, user: "pavstyuk", name: "Mikhail Pavstyuk", message: "от Матф 5:5", event: "read"; 
date: "09.04.2024, 10:57", userID: 540506810, user: "pavstyuk", name: "Mikhail Pavstyuk", message: "от Матфея 10:1", event: "read"; 
date: "09.04.2024, 10:57", userID: 540506810, user: "pavstyuk", name: "Mikhail Pavstyuk", message: "от Марка", event: "read"; 
date: "09.04.2024, 10:57", userID: 540506810, user: "pavstyuk", name: "Mikhail Pavstyuk", message: "от марка 5:1", event: "read"; 
date: "09.04.2024, 10:58", userID: 540506810, user: "pavstyuk", name: "Mikhail Pavstyuk", message: "от Иоанна 10:1", event: "read"; 
date: "09.04.2024, 10:59", userID: 540506810, user: "pavstyuk", name: "Mikhail Pavstyuk", message: "от Иоанна 1:5", event: "read"; 
date: "09.04.2024, 10:59", userID: 540506810, user: "pavstyuk", name: "Mikhail Pavstyuk", message: "от Матф 10:10", event: "read"; 
date: "09.04.2024, 10:59", userID: 540506810, user: "pavstyuk", name: "Mikhail Pavstyuk", message: "от Луки 7:7", event: "read"; 
